iter	Logloss
0	0.6633599682
1	0.6425911637
2	0.6268579683
3	0.6167726844
4	0.6018979872
5	0.5906757222
6	0.5807579205
7	0.5705110131
8	0.558868991
9	0.5519270949
10	0.5458947646
11	0.5411526151
12	0.5367134784
13	0.5320029117
14	0.5291738885
15	0.5250383348
16	0.5193250404
17	0.5153711246
18	0.511102265
19	0.5054556099
20	0.5002526413
21	0.4973575793
22	0.4918680911
23	0.4886604614
24	0.4865182644
25	0.4831306152
26	0.4820977136
27	0.4786517983
28	0.4747470104
29	0.4733807355
30	0.4712862039
31	0.469572677
32	0.4673599651
33	0.4641787784
34	0.4625813959
35	0.4595213034
36	0.4566481179
37	0.454492603
38	0.4507912195
39	0.4491901735
40	0.4481362637
41	0.4470549962
42	0.4443806226
43	0.4421936609
44	0.4390765906
45	0.4369475695
46	0.4363651077
47	0.4346846239
48	0.4314974237
49	0.4285765906
