iter	Passed	Remaining
0	85	42427
1	157	39178
2	237	39339
3	316	39261
4	398	39425
5	486	40025
6	570	40209
7	643	39589
8	716	39113
9	793	38897
10	875	38926
11	969	39408
12	1059	39698
13	1139	39567
14	1219	39418
15	1292	39101
16	1368	38875
17	1450	38833
18	1525	38618
19	1599	38392
20	1670	38108
21	1747	37977
22	1831	37978
23	1907	37839
24	1988	37772
25	2062	37593
26	2143	37558
27	2217	37377
28	2290	37199
29	2370	37136
30	2454	37127
31	2522	36887
32	2604	36860
33	2681	36749
34	2752	36565
35	2834	36528
36	2927	36637
37	3020	36726
38	3109	36754
39	3205	36864
40	3297	36916
41	3388	36949
42	3484	37029
43	3572	37022
44	3653	36942
45	3733	36843
46	3816	36782
47	3896	36696
48	3977	36611
49	4057	36518
50	4130	36365
51	4207	36247
52	4279	36090
53	4357	35993
54	4437	35903
55	4513	35785
56	4586	35643
57	4663	35539
58	4734	35384
59	4814	35302
60	4889	35188
61	5024	35495
62	5114	35479
63	5195	35391
64	5275	35304
65	5348	35170
66	5426	35070
67	5511	35013
68	5598	34969
69	5677	34873
70	5761	34814
71	5833	34677
72	5918	34617
73	5997	34526
74	6073	34418
75	6148	34299
76	6219	34164
77	6292	34042
78	6370	33949
79	6455	33890
80	6527	33763
81	6603	33659
82	6672	33523
83	6750	33432
84	6839	33394
85	6922	33326
86	7017	33312
87	7096	33226
88	7179	33152
89	7264	33094
90	7336	32973
91	7417	32895
92	7505	32847
93	7583	32752
94	7655	32634
95	7734	32548
96	7817	32478
97	7900	32408
98	7976	32308
99	8048	32194
100	8120	32080
101	8193	31971
102	8264	31855
103	8338	31749
104	8420	31676
105	8490	31559
106	8563	31454
107	8629	31322
108	8704	31225
109	8781	31134
110	8864	31067
111	8955	31024
112	9039	30956
113	9120	30881
114	9206	30822
115	9291	30758
116	9375	30691
117	9458	30620
118	9540	30544
119	9623	30474
120	9711	30417
121	9794	30346
122	9875	30269
123	9961	30206
124	10036	30110
125	10104	29993
126	10172	29875
127	10247	29780
128	10323	29689
129	10398	29595
130	10480	29521
131	10557	29434
132	10632	29340
133	10709	29250
134	10785	29161
135	10879	29118
136	10977	29086
137	11311	29671
138	11434	29696
139	11543	29682
140	11627	29604
141	11724	29560
142	11811	29486
143	11887	29389
144	11964	29291
145	12041	29197
146	12127	29122
147	12200	29016
148	12280	28929
149	12358	28837
150	12438	28748
151	12511	28644
152	12586	28544
153	12657	28439
154	12737	28352
155	12815	28259
156	12904	28192
157	12988	28114
158	13056	28001
159	13128	27897
160	13204	27803
161	13279	27707
162	13362	27626
163	13439	27535
164	13515	27440
165	13586	27336
166	13653	27224
167	13731	27135
168	13803	27035
169	13881	26946
170	13959	26857
171	14030	26755
172	14098	26649
173	14166	26542
174	14244	26453
175	14320	26362
176	14396	26270
177	14469	26175
178	14539	26073
179	14611	25975
180	14684	25880
181	14764	25797
182	14852	25727
183	14948	25671
184	15028	25589
185	15117	25521
186	15201	25444
187	15284	25365
188	15370	25292
189	15459	25222
190	15541	25142
191	15623	25063
192	15698	24971
193	15773	24880
194	15854	24798
195	15937	24720
196	16023	24645
197	16103	24561
198	16180	24474
199	16255	24383
200	16335	24299
201	16411	24211
202	16481	24113
203	16553	24018
204	16620	23917
205	16684	23812
206	16762	23726
207	16830	23627
208	16918	23556
209	17002	23479
210	17079	23393
211	17154	23304
212	17232	23219
213	17323	23152
214	17411	23080
215	17497	23005
216	17578	22924
217	17659	22844
218	17739	22761
219	17810	22668
220	17883	22576
221	17963	22495
222	18040	22408
223	18111	22316
224	18182	22222
225	18251	22128
226	18334	22049
227	18415	21969
228	18497	21890
229	18565	21794
230	18638	21704
231	18706	21608
232	18787	21529
233	18881	21463
234	18983	21407
235	19076	21340
236	19162	21265
237	19246	21186
238	19336	21116
239	19426	21045
240	19507	20964
241	19588	20883
242	19662	20795
243	19736	20707
244	19813	20622
245	19895	20542
246	19970	20455
247	20038	20361
248	20111	20272
249	20182	20182
250	20257	20095
251	20338	20015
252	20412	19928
253	20490	19845
254	20565	19759
255	20640	19672
256	20713	19584
257	20790	19500
258	20871	19421
259	20959	19347
260	21042	19269
261	21125	19190
262	21206	19109
263	21284	19026
264	21364	18945
265	21444	18864
266	21516	18776
267	21592	18692
268	21660	18600
269	21730	18510
270	21811	18430
271	21894	18352
272	21961	18261
273	22032	18172
274	22103	18085
275	22176	17998
276	22245	17908
277	22323	17826
278	22400	17743
279	22471	17656
280	22544	17570
281	22620	17486
282	22687	17396
283	22772	17320
284	22929	17297
285	23021	17225
286	23105	17147
287	23184	17066
288	23260	16982
289	23346	16906
290	23436	16832
291	23528	16759
292	23619	16686
293	23709	16612
294	23798	16538
295	23896	16468
296	23985	16394
297	24072	16317
298	24155	16238
299	24233	16155
300	24318	16077
301	24401	15998
302	24473	15912
303	24551	15829
304	24625	15744
305	24708	15664
306	24802	15592
307	24895	15518
308	24976	15438
309	25055	15356
310	25135	15275
311	25223	15198
312	25312	15122
